District/township/town/city, NOC_CountryRegion, Alpha-2 code, year, season
Melbourne/Stockholm,AUS,AS,1956,summer
Sydney, AUS, AS, 2000, summer
Innsbruck, AUT, AT, 1964, winter
Innsbruck, AUT, AT, 1976, winter
Antwerp, BEL, BE, 1920, summer
Antwerp, BEL, BE, 1920, winter
Montreal, CAN, CA, 1976, Summer
Lake Placid, CAN, CA, 1980, Winter
Calgary, CAN, CA, 1988, Winter
St. Moritz, SUI, SZ, 1928, Winter
St. Moritz, SUI, SZ, 1948, Winter
Beijing, CHN, CH, 2008, summer
Berlin, GER, GM, 1936, summer
Garmisch-Partenkirchen, GER, GM, 1936, winter
Barcelona, ​​ESP, SP, 1992, summer
